,corp_code,ceo_nm
758,426518,오영주
759,426536,우상훈
760,426545,조용성
761,335951,오정환
762,436588,남명희
763,435349,이헤경
764,331450,이성낙
765,331450,박규직
767,341952,허상수
768,342739,김구환
769,342988,조순호
770,436241,김성진
771,436241,강민규
773,436269,김성진
774,436269,강민규
776,436296,아우영챠이요크
777,237491,이은아
778,118099,박시영
779,436685,원성수
780,437107,이성종
781,436490,김영신
782,436524,최병수
783,435923,표정용
784,437541,가이론모아
785,437569,이의민
786,336385,김근배
787,198253,이택보
788,354062,김금수
789,311818,Kim Jin Ouk
790,452267,이평택
791,446141,장성진
792,245117,서준석
793,451365,윤재을
794,451365,홍창선
796,263627,이삼영
797,257440,김병실
798,413912,김장민
799,362618,김영철
800,202404,던킨야곱스
801,202404,양회천
803,450773,박창우
804,252852,박종완
805,451879,박창성
806,181217,손창덕
807,375728,하헌윤
808,445823,신재홍
809,387167,박강준
810,256885,이시원
811,452674,이영준
812,449421,김용택
813,209230,김희상
814,412311,김근형
815,233741,오덕근
816,299400,김재호
817,112518,박노화
818,416760,하성현
819,397438,이상복
820,198615,황희철
821,363228,정선명
822,415257,이병주
823,369365,박병형
824,405126,김용만
825,415266,이수길
826,361354,김정수
827,415275,이의봉
828,367446,심상희
829,415673,김규태
830,171751,이상문
831,416797,전정도
832,193407,서보출
833,365943,정대현
834,363060,윤기수
835,418892,박원준
836,418917,조형일
837,417370,이창희
838,417370,이석준
840,427508,김해인
841,367987,양남길
842,428020,성재철
843,382296,이광섭
844,297332,John Boruch
845,378929,김방진
846,384735,류계림
847,303572,임승배
848,399250,김수천
849,434951,조규상
850,434988,김상근
851,434997,김찬주
852,435002,박장호
853,435136,강승구
854,434331,최민재
855,434359,이수창
856,434377,박희운
857,434386,박형렬
858,434438,김송우
859,286877,손주선
860,436913,원경석
861,436366,김균수
862,369116,전재현
863,261577,전하진
864,434261,우상훈
865,222204,김성철
866,436153,이형교
867,437967,김종길
868,435914,박근실
869,435899,강재숙
870,437383,유세춘
871,351825,박상환
872,415008,최승현
873,436968,김문학
874,436852,김기문
875,436393,정용희
876,261142,김성군
877,439406,홍영직
878,421559,최흥구
879,387060,한정욱
880,434067,이인성
881,446938,조영도
882,413161,신민수
883,450409,김학주
884,430283,장완익
885,370875,이득웅
886,230878,기호식
887,409867,안남훈
888,385044,이은복
889,173245,한창섭
