,기업코드,회차,등록일,수익(매출액),영업이익(손실),당기순이익(손실)
121,159698,제 33 기,20180329,,,"69,878,133,316"
122,165680,제 45 기,20180402,,,
123,983040,제 5 기,20180402,,"44,665,913,000","238,883,994,020"
124,923792,제 17 기,20180330,"9,238,807,537","-5,337,960,222","-9,645,005,336"
125,121543,제 45 기,20190225,,,"51,672,558,429"
126,441243,제 16 기,20170928,"70,228,766,669","2,108,630,193","4,712,955,740"
127,127954,제 30 기,20180330,,,
128,145446,제 46 기,20180330,"213,608,193,650","5,266,123,404","2,729,054,081"
129,152260,제 35 기,20180330,,,
130,1097906,제 3 기,20180329,,,
131,148443,제 58 기,20180402,,"-2,129,200,988","516,830,743,482"
132,181943,제 43 기,20180402,,,"15,329,920,132"
133,134477,제 55 기,20180314,,"-36,005,754,018","-28,425,565,348"
134,530121,제 23 기,20190201,,"16,426,872,834","-25,604,151,675"
135,260392,제 49 기,20180330,"495,564,298,124","-2,684,608,806","652,889,625"
136,129642,제 43 기,20180402,"301,012,456,132","28,315,697,925","21,661,110,890"
137,132868,제 42 기,20180330,"43,814,621,506","-4,214,636,084","-5,184,850,090"
138,111874,제 50 기,20180402,,,
139,107598,제 54 기,20180921,,,
140,356370,제 17 기,20180402,,,"595,658,910,188"
141,328191,제 18 기,20180402,"17,799,376,162","-3,772,300,776","-3,749,200,792"
142,117212,제 81 기,20180330,,,"205,100,275,058"
143,359580,제 21 기,20180402,"10,190,466,298","6,071,203,144","4,582,739,593"
144,270113,제 20 기,20180330,"8,514,959,609","-495,733,803","-1,307,475,878"
145,117188,제 63 기,20180326,"8,509,949,686,456","415,424,692,564","316,067,279,114"
146,199252,제 33 기,20180330,"22,994,053,167","-6,775,519,628","-14,109,735,928"
147,140964,제 44 기,20180402,,,
148,173032,제 70 기,20180402,,"42,462,505,825","35,484,447,583"
149,454399,제 18 기,20180330,"39,909,807,994","6,726,723,273","5,604,004,084"
150,140177,제 47 기,20180330,"7,946,892,573,110","154,734,672,899","144,814,544,359"
151,573579,제 12 기,20180402,"322,734,832,171","-7,859,232,707","-7,078,662,485"
152,155124,제 44 기,20180402,,"7,052,847,437","5,472,177,843"
153,129509,제 39 기,20180402,,"10,331,736,105",
154,364467,제 19 기,20180622,,"-7,447,417,567","-12,766,634,104"
155,133812,제 53 기,20180402,"570,767,358,535","8,419,415,290","14,579,772,157"
156,103130,제 44 기,20180417,"28,103,183,005","-2,743,956,269","-8,382,696,272"
157,159616,제 55 기,20180330,,,"15,779,777,000"
158,160205,제 44 기,20180330,"270,434,846,816","10,790,219,118","11,644,296,776"
159,525934,제 19 기,20180402,,,"46,457,533,652"
160,642541,제 18 기,20180402,"14,179,691,598","1,463,912,096","1,361,306,100"
161,186452,제 27 기,20180330,,"199,524,810","-3,352,682,062"
162,244419,제 23 기,20180330,"22,576,838,174","4,140,570,431","3,739,917,496"
163,148896,제 44 기,20180612,,,"168,896,194,000"
164,102858,제 44 기,20180405,,,
165,150244,제 66 기,20180411,"1,664,922,295,167",,
166,115977,제 43 기,20180402,"1,651,678,798,838","305,580,249,487","180,383,924,587"
167,344287,제 18 기,20180329,,,"60,471,573,065"
168,130772,제 28 기,20180330,,"14,007,944,893","14,014,096,402"
169,155319,제 50 기,20180621,,,"2,545,685,288,495"
170,297961,제 22 기,20180330,"89,638,145,864","-744,226,694","-7,402,564,102"
171,158024,제 32 기,20180402,"459,640,265,474","17,199,025,263","6,336,875,264"
172,129280,제 42 기,20180330,"31,129,044,624","-58,987,652","-3,154,263,639"
173,209780,제 28 기,20180621,,,
174,117629,제 46 기,20180402,,"-7,914,355,408","-28,494,671,840"
175,267906,제 39 기,20180330,"64,328,988,902","3,739,359,938","-415,765,104"
176,163691,제 80 기,20180402,,"4,518,151,294","-10,597,456,278"
177,234227,제 25 기,20180402,"36,195,748,048","-1,988,191,124","-4,966,206,232"
178,1043853,제 4 기,20180330,,,"-10,333,191,780"
179,153755,제 53 기,20180402,"338,292,737,766","11,725,695,169","1,091,132,145"
180,160588,제 66 기,20180611,,"259,100,000,000","160,342,000,000"
181,288495,제 30 기,20180608,,,
182,353878,제 22 기,20180328,"223,311,390,824","21,047,021,660","18,631,925,403"
183,442905,제 19 기,20180614,"42,539,088,475","3,392,847,142","2,282,260,056"
184,107613,제 46 기,20180402,"301,678,448,917","11,635,335,304","-14,602,361,550"
185,390408,제 27 기,20180402,"65,211,588,120","8,579,749,716","8,146,290,147"
186,141413,제 41 기,20180402,,,
187,159342,제 32 기,20180328,,"37,209,514,000","24,868,313,000"
188,166227,제 49 기,20180330,,,
189,918222,제 10 기,20190325,,"-8,662,000,224","-14,161,769,761"
190,119195,제 89 기,20180618,,"10,987,308,187","47,009,013,175"
191,126487,제 47 기,20180413,"560,952,332,180","97,887,231,751","74,706,935,942"
192,127802,제 53 기,20180330,,,
193,563837,제 18 기,20180402,,,"-12,902,408,233"
194,149947,제 62 기,20181024,"502,918,586,614","21,539,938,607","-1,357,191,314"
195,151128,제 44 기,20180402,,,
196,503668,제 16 기,20180402,"1,760,325,842,149","4,435,777,203","-8,628,211,424"
197,139889,제 45 기,20180402,"1,403,473,050,602","139,248,607,560","37,918,445,851"
198,265324,제 24 기,20180330,,,
199,141307,제 67 기,20180402,"1,458,392,216,330","24,919,001,717","59,988,870,455"
200,1113949,제 17 기,20180402,,"-7,784,888,040","-8,285,055,521"
201,112970,제 65 기,20180403,,"-8,878,328,428","-16,966,507,141"
202,362858,제 19 기,20180402,"439,734,665,960",,"-975,602,694"
203,781202,제 40 기,20180430,"33,001,653","-7,829,884","-18,923,441"
204,809429,제 8 기,20180419,"21,692,056,242","94,410,328","28,654,701,859"
205,117708,제 41 기,20180402,,"38,735,372,774","29,065,988,695"
