,기업코드,회차,등록일,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금(결손금),자본총계
72,260383,제 49 기,20180330,"405,807,656,811 ","1,494,959,581,104 ","1,900,767,237,915 ","258,683,219,628 ","221,302,259,538 ","479,985,479,166 ","41,000,000,000 ","1,119,131,584,561 ","1,420,781,758,749 "
73,137012,제 28 기,20180402,"24,873,212,084 ","39,267,191,643 ","64,140,403,727 ","5,166,409,438 ","6,533,057,553 ","11,699,466,991 ","3,600,000,000 ","36,491,499,736 ","52,440,936,736 "
74,257732,제 20 기,20190911,"81,034,506,987 ","28,085,846,147 ","109,120,353,134 ","29,985,189,511 ","1,351,099,845 ","31,336,289,356 ","4,202,000,000 ","22,366,608,407 ","77,784,063,778 "
75,378628,제 26 기,20180330,"93,900,563,145 ","147,333,501,309 ","241,234,064,454 ","17,765,252,829 ","14,190,777,494 ","31,956,030,323 ","10,000,000,000 ","181,508,184,455 ","209,278,034,131 "
76,105952,제 49 기,20180402,"26,446,000,000 ","2,182,553,000,000 ","2,208,999,000,000 ","180,989,000,000 ","169,762,000,000 ","350,751,000,000 ","161,000,000,000 ",,"1,858,248,000,000 "
77,628189,제 11 기,20180402,"341,824,451,345 ","187,236,358,652 ","529,060,809,997 ","215,855,285,742 ","13,180,839,768 ","229,036,125,510 ","17,310,582,500 ","96,464,560,480 ","300,024,684,487 "
78,152589,제 30 기,20180330,"34,021,604,302 ","84,168,299,737 ","118,189,904,039 ","23,594,024,877 ","16,900,253,322 ","40,494,278,199 ","20,000,000,000 ","24,306,219,589 ","77,695,625,840 "
79,372688,제 20 기,20190314,"25,208,359,993 ","20,069,024,580 ","45,277,384,573 ","26,733,232,114 ","9,174,541,496 ","35,907,773,610 ","10,360,384,000 ","-21,765,500,930 ","9,369,610,963 "
80,175173,제 28 기,20180330,"87,492,887,100 ","150,307,557,890 ","237,800,444,990 ","101,871,434,221 ","15,050,856,126 ","116,922,290,347 ","13,000,000,000 ","86,353,903,968 ","120,878,154,643 "
81,132992,제 37 기,20200428,"794,197,578,727 ","1,106,003,100,437 ","1,900,200,679,164 ","788,707,250,701 ","178,951,326,659 ","967,658,577,360 ","30,000,000,000 ","877,505,919,786 ","932,542,101,804 "
82,633835,제 11 기,20180615,"1,390,569,000,000 ","1,921,734,000,000 ","3,312,303,000,000 ","2,532,122,000,000 ","216,771,000,000 ","2,748,893,000,000 ","530,263,000,000 ","-710,560,000,000 ","563,410,000,000 "
83,103547,제 33 기,20180402,"14,202,880,179 ","46,435,010,777 ","60,637,890,956 ","24,746,596,781 ","12,851,989,814 ","37,598,586,595 ","5,995,648,000 ","8,280,618,627 ","23,039,304,361 "
84,125150,제 51 기,20181105,"200,031,954,013 ","401,054,094,933 ","601,086,048,946 ","318,090,598,186 ","59,750,126,081 ","377,840,724,267 ","24,272,090,000 ","182,421,892,566 ","223,245,324,679 "
85,357740,제 23 기,20180402,"140,012,403,973 ","81,897,424,766 ","221,909,828,739 ","97,049,598,473 ","18,136,453,040 ","115,186,051,513 ","9,793,751,500 ","59,799,057,029 ","106,723,777,226 "
86,145163,제 50 기,20180330,"25,850,467,168 ","37,901,474,651 ","63,751,941,819 ","2,380,848,939 ","5,377,921,475 ","7,758,770,414 ","29,204,055,000 ","-155,998,422,747 ","55,993,171,405 "
87,203023,제 33 기,20181114,"53,575,224,110 ","83,010,927,754 ","136,586,151,864 ","57,631,405,754 ","6,992,610,542 ","64,624,016,296 ","33,191,693,500 ","-13,442,800,989 ","71,962,135,568 "
88,156150,제 32 기,20180402,"34,527,966,462 ","23,780,338,254 ","58,308,304,716 ","21,112,644,522 ","4,271,836,988 ","25,384,481,510 ","13,826,837,500 ","-145,413,343 ","32,923,823,206 "
89,114154,제 41 기,20181026,"165,644,239,206 ","166,179,799,703 ","331,824,038,909 ","241,070,773,133 ","30,679,466,044 ","271,750,239,177 ","16,282,490,000 ","8,709,234,536 ","60,073,799,732 "
90,492353,제 18 기,20180330,"31,711,460,708 ","11,136,214,958 ","42,847,675,666 ","4,942,568,763 ","5,573,628,334 ","10,516,197,097 ","3,428,165,000 ","5,538,771,729 ","32,331,478,569 "
91,205003,제 25 기,20180402,"77,477,420,561 ","24,184,445,386 ","101,661,865,947 ","28,508,139,975 ","1,547,890,568 ","30,056,030,543 ","13,206,268,000 ","44,882,427,831 ","71,605,835,404 "
92,164788,제 41 기,20180328,"11,460,665,000,000 ","13,901,708,000,000 ","25,362,373,000,000 ","3,713,319,000,000 ","416,159,000,000 ","4,129,478,000,000 ","491,096,000,000 ",,"21,232,895,000,000 "
93,157636,제 54 기,20180330,"223,518,980,334 ","144,131,488,672 ","367,650,469,006 ","174,848,524,855 ","18,966,945,310 ","193,815,470,165 ","7,443,321,000 ","130,119,035,926 ","173,834,998,841 "
94,145914,제 34 기,20171229,"54,797,734,373 ","71,032,372,888 ","125,830,107,261 ","33,003,279,846 ","9,591,130,271 ","42,594,410,117 ","10,522,733,500 ","40,940,410,659 ","83,235,697,144 "
95,159564,제 31 기,20180330,"33,987,246,970 ","50,940,487,191 ","84,927,734,161 ","27,562,409,024 ","1,020,111,430 ","28,582,520,454 ","5,654,629,500 ","47,498,780,219 ","56,345,213,707 "
96,138279,제 43 기,20180402,"6,769,402,000,000 ","8,308,161,000,000 ","15,077,563,000,000 ","4,543,391,000,000 ","3,695,073,000,000 ","8,238,464,000,000 ","291,512,000,000 ",,"6,839,099,000,000 "
97,118521,제 42 기,20180629,"29,656,054,071 ","19,732,236,003 ","49,388,290,074 ","8,400,711,558 ","312,276,555 ","8,712,988,113 ","21,174,063,000 ","-39,494,378,436 ","40,675,301,961 "
98,159023,제 34 기,20180402,"3,768,098,000,000 ","21,789,424,000,000 ","25,557,522,000,000 ","4,767,401,000,000 ","5,782,730,000,000 ","10,550,131,000,000 ","44,639,000,000 ",,"15,007,391,000,000 "
99,410739,제 20 기,20180329,"18,958,853,205 ","21,120,390,823 ","40,079,244,028 ","25,036,309,114 ","322,750,727 ","25,359,059,841 ",,,"14,720,184,187 "
100,526951,제 15 기,20180330,"59,585,843,721 ","109,937,800,967 ","169,523,644,688 ","80,371,252,107 ","10,987,223,017 ","91,358,475,124 ","16,056,973,500 ","21,534,316,079 ","78,165,169,564 "
101,155151,제 33 기,20180402,"241,318,807,868 ","315,903,329,340 ","557,222,137,208 ","202,725,235,983 ","16,313,608,542 ","219,038,844,525 ","10,500,000,000 ","254,315,391,608 ","338,183,292,683 "
102,269241,제 30 기,20180330,"35,390,453,824 ","17,790,146,498 ","53,180,600,322 ","4,336,882,183 ","1,406,911,009 ","5,743,793,192 ","9,877,327,000 ","-9,550,620,593 ","47,436,807,130 "
103,127255,제 55 기,20180330,"42,281,589,374 ","45,843,008,016 ","89,171,444,321 ","29,729,440,613 ","6,338,903,521 ","36,068,344,134 ","17,000,000,000 ","-11,631,726,485 ","53,103,100,187 "
104,261443,제 21 기,20180330,"1,669,239,629,302 ","1,792,268,424,923 ","3,461,508,054,225 ","372,494,395,946 ","335,582,071,082 ","708,076,467,028 ","10,969,511,000 ","1,924,094,023,958 ","2,753,431,587,197 "
105,610490,제 26 기,20180402,"74,642,099,128 ","22,166,334,868 ","96,808,433,996 ","50,211,049,411 ","14,925,046,825 ","65,136,096,236 ","2,640,250,000 ","11,068,295,816 ","31,672,337,760 "
106,261957,제 28 기,20180330,"61,878,545,120 ","36,704,855,328 ","98,583,400,448 ","44,852,137,451 ","1,768,613,538 ","46,620,750,989 ","4,009,198,500 ","1,917,661,033 ","51,962,649,459 "
107,609634,제 12 기,20180329,"52,091,425,486 ","69,524,927,863 ","121,616,353,349 ","67,410,168,122 ","6,930,917,393 ","74,341,085,515 ","11,286,004,500 ","14,059,886,325 ","47,275,267,834 "
108,618410,제 14 기,20180402,"32,362,364,732 ","124,625,624,810 ","156,987,989,542 ","93,237,997,497 ","1,339,707,940 ","94,577,705,437 ","18,068,799,000 ","12,314,369,302 ","62,410,284,105 "
109,159193,제 57 기,20180330,"9,344,127,000,000 ","97,196,027,000,000 ","106,540,154,000,000 ","18,707,499,000,000 ","32,050,299,000,000 ","50,757,798,000,000 ","3,209,820,000,000 ","38,018,329,000,000 ","55,782,356,000,000 "
110,142713,제 42 기,20180330,"54,758,246,991 ","21,176,852,853 ","75,935,099,844 ","40,524,555,810 ","8,837,867,155 ","49,362,422,965 ","19,477,834,000 ","-20,456,829,000 ","26,572,676,879 "
111,153861,제 45 기,20180612,"717,320,378,443 ","1,155,451,434,567 ","1,872,771,813,010 ","651,438,428,908 ","401,199,480,279 ","1,052,637,909,187 ","39,478,740,000 ","648,870,979,858 ","820,133,903,823 "
112,216647,제 27 기,20180615,"113,897,547,574 ","586,384,881,915 ","700,282,429,489 ","142,594,482,273 ","22,548,602,438 ","165,143,084,711 ","38,618,990,500 ",,"535,139,344,778 "
113,468374,제 15 기,20180330,"51,589,266,397 ","167,635,769,982 ","219,225,036,379 ","39,219,292,694 ","21,683,795,290 ","60,903,087,984 ","13,144,000,000 ","134,532,240,711 ","158,321,948,395 "
