,기업코드,회차,등록일,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
223,808022,제 16 기,20180402,-4034903110 ,22697241894 ,-11250160000 
224,187415,제 46 기,20180618,1610977426 ,1618800944 ,317259754 
225,208134,제 24 기,20180618,6980792779 ,-8326574997 ,-2204450865 
226,151863,제 41 기,20180402,-6383065422 ,3146019649 ,3101368931 
227,373021,제 25 기,20180402,410057454 ,-5973151225 ,5259999166 
228,317487,제 23 기,20180330,-9186488591 ,4072976920 ,-4095789087 
229,353018,제 24 기,20180402,-15773579967 ,-2186580758 ,29154137413 
230,608699,제 11 기,20180402,-4493451664 ,693237401 ,
231,549891,제 17 기,20200429,60664233595 ,-41638066677 ,-22346210070 
232,660121,제 18 기,20180330,,,
233,227333,제 28 기,20180402,60293557848 ,-63310069346 ,3661472512 
234,173999,제 41 기,20180402,17572564290 ,-7456034768 ,-10005123677 
235,133335,제 88 기,20180402,12223793212 ,-7619092565 ,-5955110055 
236,122579,제 63 기,20180402,23679595946 ,-29888282164 ,8318207082 
237,367385,제 34 기,20170928,,,
238,125938,제 37 기,20180402,-4758457517 ,482324764 ,5009166184 
239,174004,제 58 기,20180402,14804872625 ,-8278935860 ,-3077700000 
240,157991,제 54 기,20180330,,-7202856238 ,-4050892883 
241,246417,제 24 기,20180402,28282798111 ,-24925198633 ,-2289587400 
242,369569,제 18 기,20180619,-2044128910 ,7725218233 ,-5512831111 
243,309503,제 19 기,20180814,104616986768 ,-215827371674 ,286777605240 
244,152437,제 34 기,20180402,-1148841433 ,-807567020 ,-3466703090 
245,148522,제 43 기,20180412,10454894058 ,-1711593260 ,-9127986031 
246,136341,제 50 기,20170928,65812327996 ,-17979632206 ,-41805781037 
247,102751,제 62 기,20180330,3319686088 ,-16939049953 ,15426353670 
248,126478,제 44 기,20180323,413647011413 ,-20869277386 ,-1007330565849 
249,105299,제 39 기,20180330,7069683258 ,-11266698849 ,9972696820 
250,133876,제 40 기,20180402,,,
251,874195,제 12 기,20180710,-16656435173 ,4406107606 ,-193685410 
