,기업코드,회차,등록일,수익(매출액),영업이익(손실),당기순이익(손실)
222,141246,제 36 기,20180402,841221412527 ,25637095605 ,13111088666 
223,808022,제 16 기,20180402,,-3256843102 ,-14881751606 
224,187415,제 46 기,20180618,35612736456 ,601505118 ,532839367 
225,208134,제 24 기,20180618,,8350575466 ,9349374192 
226,151863,제 41 기,20180402,32477961009 ,-5723631810 ,-15533377459 
227,373021,제 25 기,20180402,24030813042 ,588010828 ,-1990795928 
228,317487,제 23 기,20180330,23192843705 ,-9006102127 ,-16165737079 
229,353018,제 24 기,20180402,41311639085 ,-9148331386 ,-15808890849 
230,608699,제 11 기,20180402,47048591959 ,-10649887696 ,-10548631682 
231,549891,제 17 기,20200429,,22732973962 ,18020462322 
232,660121,제 18 기,20180330,,,786537889 
233,227333,제 28 기,20180402,261721388634 ,24167854264 ,6296840011 
234,173999,제 41 기,20180402,,10768271579 ,4219118614 
235,133335,제 88 기,20180402,,,9112888560 
236,122579,제 63 기,20180402,,,7918746972 
237,367385,제 34 기,20170928,,5926760410 ,5106930039 
238,125938,제 37 기,20180402,112996351005 ,-3258203294 ,7283267444 
239,174004,제 58 기,20180402,251413205813 ,-5374254494 ,6254670142 
240,157991,제 54 기,20180330,,,
241,246417,제 24 기,20180402,376174749563 ,50493017221 ,18364192616 
242,369569,제 18 기,20180619,,,-2421634251 
243,309503,제 19 기,20180814,2072249142312 ,-208940620193 ,-235471322521 
244,152437,제 34 기,20180402,,827985084 ,740061587 
245,148522,제 43 기,20180412,140054579563 ,653033749 ,860418605 
246,136341,제 50 기,20170928,866552323732 ,19098479885 ,-4394748617 
247,102751,제 62 기,20180330,,6007783845 ,
248,126478,제 44 기,20180323,,,-337606491056 
249,105299,제 39 기,20180330,,39563505618 ,21584688373 
250,133876,제 40 기,20180402,,,
251,874195,제 12 기,20180710,,5242413141 ,4853980441 
252,652423,제 10 기,20180328,7076785724 ,-1531487799 ,-1210953188 
253,101044,제 59 기,20180911,30859683366 ,-1055453788 ,-7562309841 
254,360595,제 17 기,20180328,,,
